URL,Description
https://www.buyritebeauty.com/belvedere-bu12-nova-styling-chair/,"
Description


The Belvedere Maletti Nova Styling Chair is Made 100% in North America and is exclusively available only at Buy-Rite! This styling chair was designed with quality and durability in mind as it is built to last in the busiest and toughest salon environments. The Nova Styling Chair features a smooth interior vinyl surface that is perfectly complimented by an eye-catching quilted stitch pattern on the exterior arm and back cushions. The smooth vinyl interior, as well as the small openings between the seat and back cushions, make this chair incredibly easy to clean. This styling chair features and extra-wide seat to keep even your largest customers comfortable and a low backrest which is great when cutting longer hair. The Nova Styling Chair is available for quick ship in black vinyl and brushed chrome base but is also available in more than 80 vibrant vinyl colors to perfectly match the décor of your salon or spa. Additionally, the Nova Styling Chair comes complete on a 23” brushed chrome base but it is also available on a painted black base by special order. If you are looking for a styling chair with great style that can also be the workhorse in any salon, then the Nova Styling Chair is the one for you! *Please allow 4 - 5 weeks for shipment of colors other than Black or those selecting the painted black base option.Features: 

Made 100% in North America by Belvedere Maletti
Available Exclusively at Buy-Rite Salon Equipment!
Low Backrest for Cutting Long Hair
Extra-Wide Seat w/ Resilient Foam Padded Upholstery
5 Year Warranty on Hydraulic Pump
Polished Chrome “U” Footrest
(2) 23"" Base Options – Brushed Chrome & Painted Black
Black Vinyl Available for Quick Shipment
Available in Over 80 Vibrant Vinyl Colors
 


Read Reviews
"
https://www.buyritebeauty.com/belvedere-kami-unisex-barber-chair/,"
Description


The Belvedere Kami Unisex Barber Chair is an Italian Made Barber Chair that offers unmatched durability and functionality. This barber chair perfectly blends contemporary style with unmatched usability that comforts both the stylist and client. The contoured seat back of the Kami provides added lumbar support while the curved seat keeps the clients comfortable and in perfect cutting position. The Kami Unisex Barber Chair features upholstered arm rests for maximum comfort and a vertically adjustable head rest to cater to customers of all sizes. The Kami Unisex Barber Chair can also be accompanied by the Kami Reclining All Purpose Chair and/or the Kami Styling Chair  to offer great design continuity across your salon or barber shop.
Features:

Italian Made Barber Chair
Contoured Seat Back & Curved Seat for Great Comfort
Extra Wide Winged Seat & Back Rest
Contemporary Style Barber Chair
Adjustable Headrest
Low Density Expanded Polyurethane Foam Structure and Metal Insert
5 Year Warranty on Hydraulic Pump.
 


Read Reviews
"
https://www.buyritebeauty.com/belvedere-rocky-barber-chair/,"
Description


The Belvedere Rocky Barber Chair is a professional Barber Chair that is Made in Italy and is sure to look dashing in any barber shop or salon! The Rocky is a reclining barber’s chair featuring a hydraulic swivel pump with brake, reclining seat with synchronized back and leg lift movement and an adjustable headrest. It’s heavy duty frame and polished high rigidity aluminum tread plate provides ultimate control and stability.  This time-honored design is upholstered in vinyl and showcased with diamond stitching on both the seat and back cushions. The Rocky barber chair comes complete with a five-year warranty on its hydraulic pump as well as a one year warranty on all other parts, assuring you peace of mind with this exceptional chair. The Rocky Barber Chair is available in two colors options; black vinyl with a black frame and black base or brown vinyl with a white frame and white base. 
Features:

Italian Made Professional Barber Chair
Hydraulic Swivel Pump with Brake
Diamond Pattern Stitched Leather on Seat & Back Cushions
Heavy Duty Frame
Adjustable, Pull Out Headrest With Stainless Steel Insert
Reclining Seat w/ Synchronized Back & Leg Lift
Seat With Traditional Steel Springs For Maximum Seating Comfort
Available In Two Color Options
 


Read Reviews
"
https://www.buyritebeauty.com/belvedere-zeus-easy-barber-chair/,"
Description


The Belvedere Zeus Easy Barber Chair is an Italian made Barber Chair that can satisfy even the most demanding customer in terms of quality and comfort. The Zeus Easy is a reclining swivel barber’s chair featuring a hydraulic swivel pump with brake, reclining seat with synchronized back and leg lift movement and adjustable headrest and footrest. It’s heavy duty frame and polished high rigidity aluminum tread plate provides the ultimate control and stability.  This time-honored design is upholstered in vinyl and showcased with diamond stitching on both the front and back of the barber’s chair. The Zeus Easy barber chair comes with a five year warranty on it’s hydraulic pump as well as a one year warranty on all other parts, assuring you peace of mind with this exceptional chair. The Zeus Easy Barber Chair is available for quick ship as pictured, with black vinyl and black piping. 
Features:

Italian Made Professional Barber Chair
Hydraulic Swivel Pump with Brake
Diamond Pattern Stitched Vinyl
Heavy Duty Frame
Reclining Seat w/ Synchronized Back & Leg Lift
Backrest With Inside Elastic Straps For High Comfort
Seat With Traditional Steel Springs For Maximum Seating Comfort
Available in Black Upholstery with Black Piping
 


Read Reviews
"
https://www.buyritebeauty.com/belvedere-camaleonte-fashion-backwash-unit/,"
Description


The Belvedere Camaleonte Fashion Backwash Unit is Made in Italy with the utmost quality and attention to detail at the forefront. This sleek backwash unit comes in black eco-leather upholstery with eye-catching polished aluminum arm rests that are sure to make any modern salon shine. The Camaleonte Fashion makes cleaning, plumbing  and maintenance almost effortless by offering a flip up seat, which is also an indispensable feature for facilitating inspections. This backwash unit also comes with a motorized leg rest option for ultimate client comfort. The Belvedere Camaleonte Fashion Backwash comes complete with a white ceramic tilting shampoo bowl that features UPC certified fixtures. **Not compatible for use with a deck mounted Vacuum Breaker**
Features:

Italian Made Shampoo Backwash Unit
Black Eco-Leather Upholstery
Polished Aluminum Arm Rests
White Ceramic Tilting Shampoo Bowl
UPC Certified Fixtures
Flip Up Seat for Effortless Cleaning & Maintenance
Motorized Leg Rest Option Available for an Upcharge
5 Year Warranty on Ceramic Shampoo Bowl
 


Read Reviews
"
https://www.buyritebeauty.com/belvedere-camaleonte-swing-backwash-unit/,"
Description


The Belvedere Camaleonte Swing Backwash Unit is Italian made and offers luxurious design and extreme comfort. This shampoo backwash unit features a white ceramic tilting shampoo bowl complete with UPC certified fixtures and comes upholstered in a durable black eco-leather upholstery. The Camaleonte Swing makes cleaning, plumbing and maintenance almost effortless by offering a flip up seat, which is also an indispensable feature for facilitating inspections. This backwash unit also comes with a motorized leg rest option for ultimate client comfort. The Belvedere Camaleonte Swing Backwash is available for quick shipment and is a great addition for any salon or spa. **Not compatible for use with a deck mounted Vacuum Breaker**
Features:

Italian Made Shampoo Backwash Unit
Black Eco-Leather Upholstery
White Ceramic Tilting Shampoo Bowl
UPC Certified Fixtures
Flip Up Seat for Effortless Cleaning & Maintenance
Motorized Leg Rest Option Available for an Upcharge
5 Year Warranty on Ceramic Shampoo Bowl
 


Read Reviews
"
https://www.buyritebeauty.com/maxim-double-sided-styling-station-w-ledge/,"
Description


The Maxim Double-Sided Styling Station w/ Ledge is 100% Made in the U.S.A. and is perfect for not one, but TWO stylists! This free-standing, two-sided salon styling station ships to you fully assembled and comes complete with (2) front ledges & (2) 30"" x 28"" mirrors. Each side of the Maxim Double Sided Styling Station w/ Ledge is identically equipped with an upper storage cabinet, two utility drawers, storage cabinet with a slide-out tool panel to accommodate one blow dryer and two curling irons, as well as one lower drawer for additional storage! This dual sided station is designed with style and functionality in mind, and is sure to suit any salon décor! The Maxim is available in your choice of 40 laminate colors with two-tone options, so ask your Buy-Rite Beauty Sales representative today!
Description:

Made 100% in the U.S.A.
Complete with Front Ledge on Each Side
Mirrors Included on Each Side 30"" x 28""
Available in 40 Popular Laminates Colors w/ Two-Tone Option
Each Side Identically Equipped with: - (1) Upper Storage Cabinet - (1) Slide Out Tool Panel - (3) Utility Drawers
Full Extension Glides & Brushed Metal Handles
** Ships Fully Assembled **
 


Read Reviews
"
https://www.buyritebeauty.com/omni-platinum-styling-station-w-mobile-base/,"
Description


The Omni Platinum Styling Station is made 100% in the U.S.A. and features a metallic finish that is both modern and virtually indestructible. The metallic finish on the Omni Platinum Station offers a modern and industrial look that is sure to elevate the style of any Salon or Spa. The metallic finish also offers the durability and performance needed to withstand even the busiest professional salon environments. This styling station comes complete with a 60"" full-length mirror and ships to you in two fully assembled pieces for quick and easy installation. A stylist working on the Omni Platinum will be greeted on the right-hand side with an upper storage cabinet, two utility drawers, a slide-out tool panel to accommodate one blow dryer and two curling irons, as well as an extra lower drawer for additional storage! The left side of this styling station offers even more storage space with two large cabinets. Additionally, the Omni Platinum also features hidden wheels on the bottom for easy cleaning and maneuverability throughout your salon. This feature would be a great asset to any cosmetology school looking for an easy transformation from classroom to hands-on work space. If you are looking for a high-end Salon Station that is both eye-catching and extremely durable then you have found the one! And if you have the need for (2) Stylists at the same station we offer the Omni Platinum Double Styling station w/ Mobile Base.
Features:

Made 100% in the U.S.A.
Metallic Finish for Great Modern Style & Durability
High-End Industrial Metallic Design
Complete w/ 60"" Full Length Mirror
Full Extension Glides & Brushed Metal Handles
Hidden Wheels for Great Mobility
(3) Storage Cabinets
(1) Storage Drawer
(2) Utility Drawers
(1) Right-Hand Pull Out Appliance Drawer
 


Read Reviews
"
https://www.buyritebeauty.com/omni-platinum-double-styling-station-w-mobile-base/,"
Description


The Omni Platinum Double Styling Station is made 100% in the U.S.A. and features a metallic finish that is both modern and virtually indestructible. The metallic finish on the Omni Platinum Station offers a modern and industrial look that is sure to elevate the style of any Salon or Spa. The metallic finish also offers the durability and performance needed to withstand even the busiest professional salon environments. This styling station is double-sided and is designed to accommodate the needs of two stylists working at the same time.  The Omni Platinum Double Station comes complete with (2) 60"" full-length mirrors and ships to you in two fully assembled pieces for quick and easy installation. Each side of this double styling station is identically equipped with an upper storage cabinet, two utility drawers, a slide-out tool panel to accommodate one blow dryer and two curling irons, and an extra lower drawer for additional storage. Additionally, the Omni Platinum also features hidden wheels on the bottom for easy cleaning and maneuverability throughout your salon. This feature would be a great asset to any cosmetology school looking for an easy transition from classroom to hands-on work space. If you are looking for a high-end Double-Sided Salon Station that is both eye-catching and extremely durable then you have found the one! And if you have the need for only (1) Stylist per station we off the Omni Platinum Styling Station w/ Mobile Base. 
Features:

Made 100% in the U.S.A.
Designed & Built Double Sided for Two Stylists
Metallic Finish for Great Modern Style & Durability
High-End Industrial Metallic Design
Complete w/ (2) 60"" Full Length Mirrors
Full Extension Glides & Brushed Metal Handles
Hidden Wheels for Great Mobility
(2) Storage Cabinets
(2) Storage Drawers
(4) Utility Drawers
(2) Pull Out Appliance Drawers
 


Read Reviews
"
https://www.buyritebeauty.com/continuum-300-count-liners-for-pedicute/,"
Description


        Make sanitation your biggest priority. The Pedicute & Simplicity offer a safe, worry-free solution to minimizing cross contamination by utilizing disposable liners in the removable tub. Spend less time cleaning and sanitizing and more time with your next client. This pack of 300 liners are brand new and come ready to use out of the box!    


Read Reviews
"
